Name,Height,Weight,Nationality
21 R. Monteiro,191,68,Bolivia
22 E. Dall,186,72,Denmark
21 D. Vicente,186,77,Uruguay
22 J. Reyes,175,79,United States
22 A. Camblan,168,60,France
R. Robinson,185,77,United States
Ç. Orhan,172,68,Turkey
22 T. Rupil,171,65,Luxembourg
21 J. Neris,180,82,Uruguay
20 E. Şenocak,170,70,Turkey
21 J. Rivas,177,79,Venezuela
20 M. Langer,182,81,Germany
K. Goden,182,74,Germany
E. Viveros,178,70,Argentina
Z. Romero,193,85,Argentina
22 Alisson Safira,185,72,Brazil
B. Spencer,182,75,Northern Ireland
N. Maher,183,71,England
19 P. Da Silva,175,66,United States
E. Rondón,175,77,Venezuela
O. Smyth,181,72,Northern Ireland
22 J. Nshimirimana,178,70,Burundi
J. Cáceres,172,80,Paraguay
22 J. Escobar,180,70,Ecuador
22 L. Bogarde,183,70,Netherlands
22 A. Recalde,178,70,Paraguay
S. Pasquali,176,70,Australia
S. Tedić,191,80,Serbia
21 T. Iradukunda,180,72,Burundi
M. Huskovic,180,69,Austria
22 S. Scheperman,188,78,Netherlands
22 A. Athanasakopoulos,178,67,Greece
21 F. Aragón,171,69,Colombia
C. Schiavone,183,67,Venezuela
O. Dodgson,178,70,England
R. Howley,183,74,Wales
22 FakePlayer,176,73,Spain
I. Vassilev,175,65,United States
L. Owusu,181,73,Ghana
21 Ander Vitoria,180,77,Spain
R. Priso,175,78,Canada
Rodrigo Martins,177,75,Portugal
Y. Cathline,176,68,France
S. Podgoreanu,193,80,Israel
22 S. Ottesen,180,75,Norway
22 Ángel López,176,70,Spain
22 A. Gabriel,190,84,Czech Republic
J. Daley,175,68,Australia
J. Carneiro,163,66,India
A. Carboni,185,80,Italy
22 U. Mathisen,177,61,Norway
J. Bahoya,180,75,France
20 D. Caddy,186,85,France
B. Domingues,172,63,France
Y. Rivas,179,67,Venezuela
20 A. Minelli,194,84,Italy
22 S. Schendl,173,67,Austria
L. Sulzbacher,171,63,Austria
D. Dike,188,100,United States
S. Kumbedi,175,63,France
Rodrigo,172,63,Spain
21 D. N'Landu,175,64,France
21 D. Mawutor,181,77,Ghana
22 Lanchi,177,64,Spain
22 A. Gaitanidis,175,69,Greece
L. Rodríguez,174,67,Bolivia
E. Mihaj,186,78,Albania
M. Al Juwair,178,70,Saudi Arabia
21 N. Subotić,193,85,Serbia
18 J. Bréchet,187,80,France
22 J. Caviglia,168,63,Argentina
22 D. Osei Yaw,187,80,France
T. Cavanagh,182,66,Argentina
G. Norambuena,176,71,Chile
M. Ádám,191,87,Hungary
22 L. Justiniano,172,69,Bolivia
C. Bukta,176,65,Hungary
21 H. Plazas,189,83,Venezuela
S. Guarirapa,187,78,Venezuela
N. Dussenne,192,85,Belgium
22 N. Cervantes,175,67,France
22 A. Traoré,177,78,France
21 L. Acevedo,173,71,Uruguay
22 T. Adaramola,177,69,Republic of Ireland
21 J. Manríquez,180,80,Venezuela
22 A. Okyere,180,72,Ghana
B. Van Den Eynden,186,83,Belgium
22 A. Tselios,172,64,Greece
22 M. Paskotši,182,76,Estonia
22 Y. Lhéry,176,68,France
S. Kawasaki,168,66,Japan
A. Ghion,177,70,Italy
Tiago Santos,175,71,Portugal
19 A. Busin,175,65,France
20 J. Behounek,180,73,Germany
O. Alfonsi,180,70,Sweden
22 R. van Mameren,178,73,Netherlands
Medrano,172,63,Spain
M. Feil,169,67,Germany
Lee Tae Suk,174,70,Korea Republic
R. Lucero,174,74,Argentina
L. Stankovski,190,76,North Macedonia
22 R. Pirrello,190,76,Italy
R. Dadashov,187,82,Azerbaijan
F. Ihler,181,77,Denmark
22 T. Nishino,180,65,Japan
R. Perticone,183,80,Italy
A. Fuentes,193,91,Peru
22 E. Pérez Greco,184,80,Venezuela
22 R. Orihuela,183,74,Uruguay
M. Brunori,180,75,Italy
P. Dragon,187,84,Germany
E. Caffrey,177,72,Republic of Ireland
Kayky,175,67,Brazil
22 D. Gore,173,65,England
C. Franco,182,75,Uruguay
F. Suárez,183,79,Argentina
H. Haugen,182,70,Norway
D. Sikan,187,73,Ukraine
22 Ricardinho,181,74,Brazil
N. Benbouali,190,85,Algeria
Y. Diaby,184,76,France
21 R. Barnett,180,70,England
F. Gerbowski,180,76,Poland
22 J. Luques,173,70,Argentina
R. Drăgușin,191,80,Romania
G. Sardelis,171,66,Greece
15 R. Despotović,186,73,Serbia
N. Nsingi,174,70,Belgium
22 R. Nishio,180,77,Japan
21 C. Couturier,183,80,France
R. Hughes,180,72,Wales
21 André Mesquita,174,65,Portugal
J. Nolan,182,72,England
22 B. Mouazan,187,72,France
21 Juan Fernández,180,72,Spain
20 R. El Barjiji,178,72,Netherlands
21 N. Milinceanu,189,81,Moldova
21 J. González,165,68,Ecuador
22 A. Goransch,170,68,Mexico
22 O. Panuco,178,64,Mexico
22 L. Hervieu,172,64,France
I. Schmidt,172,68,Switzerland
L. Rosenlöcher,183,79,Germany
J. Reid,178,71,Scotland
T. Lemperle,187,78,Germany
M. Estève,193,87,France
Rafael Pereira,180,79,Brazil
22 A. Oladoye,180,74,Nigeria
Geny Catamo,174,66,Mozambique
F. Ponsi,186,80,Italy
22 Sotillos,180,72,Spain
22 R. Sangiovani,168,66,Argentina
B. Michel,178,75,United States
22 J. Hodge,172,65,Republic of Ireland
L. Caicedo,187,90,Ecuador
22 N. Ahmed,174,69,France
22 S. Zaidan,167,63,Saudi Arabia
S. Andreou,188,78,Cyprus
M. Fall,188,74,Senegal
14 Índio,180,79,Brazil
K. Badjie,179,71,Gambia
21 P. Hobsch,183,80,Germany
M. Palumbo,183,75,Norway
D. Popov,185,81,Ukraine
J. Amofa,185,82,Netherlands
22 K. Zinovich,194,79,Belarus
22 J. Uzeda,172,70,Bolivia
22 E. Wikström,176,73,Sweden
F. Magri,178,70,France
E. Kehrer,171,65,Germany
Peque,172,65,Spain
21 V. Dávalos,175,73,Paraguay
21 E. Julardžija,175,69,Croatia
22 M. Khalfan,168,65,United Arab Emirates
22 R. Mina,184,84,Ecuador
G. Gürpüz,176,68,Germany
F. Mitrea,180,76,Romania
L. Prokop,171,72,Austria
J. Enciso,168,64,Paraguay
M. Kostka,183,74,Germany
O. Acosta,177,62,Colombia
W. Balikwisha,173,67,Congo DR
22 E. Ávalos,178,80,Mexico
21 T. Awudu,174,69,Ghana
21 A. Valero,170,70,Venezuela
T. Le Bris,165,60,France
D. Lütke-Frie,181,80,Germany
21 K. Romero,169,62,Venezuela
F. Palazzino,170,68,Italy
22 N. Vujnović,178,73,Montenegro
L. Semić,169,68,Germany
21 G. Antoniazzi,174,73,Switzerland
I. Miramón,173,68,Argentina
J. Rosales,180,69,Honduras
22 Iker Recio,185,80,Spain
T. Lecanda,183,73,Argentina
D. Agyei,183,77,England
S. Guediri,180,77,United States
22 R. Cristóbal,182,73,Uruguay
T. De Barr,175,74,Gibraltar
22 B. Ceylan,174,70,Turkey
K. N'Chobi,177,76,France
M. Ruhs,180,70,Australia
G. Benavídez,175,71,Argentina
22 Y. Yamagishi,183,80,Japan
21 M. Dewaele,183,77,Belgium
M. Güçlü,182,70,Turkey
22 Ł. Szramowski,174,65,Poland
21 D. Chatziisaias,192,80,Greece
L. Watson,176,60,Republic of Ireland
Benny,189,64,Portugal
22 G. Sosa,182,80,Argentina
Adu Ares,183,72,Spain
22 M. Tučić,186,77,Slovenia
A. Güneren,183,70,Turkey
J. Akintunde,175,75,England
J. Seo,180,73,Korea Republic
22 A. Álvarez,175,65,Argentina
S. Iyede,181,78,Nigeria
21 Y. Kusano,169,65,Japan
J. Sánchez,185,82,Ecuador
22 Joselu Guerra,173,66,Spain
N. Wicht,185,86,Switzerland
22 J. Zevallos,175,69,Peru
22 F. Duarte,180,75,Uruguay
22 Marcelo dos Santos,187,78,Brazil
22 J. Cijntje,183,78,Curacao
S. Ibrahim,168,79,Nigeria
Z. McGraw,193,93,United States
C. García,179,73,Venezuela
22 J. Rufidis,182,75,Germany
21 L. Cabral,178,85,Paraguay
R. Schneider,170,70,Switzerland
21 A. Yousfi,179,71,Spain
D. Ndure,177,74,Germany
A. Hausch,175,65,Argentina
22 L. Torres,186,70,Ecuador
Y. Bisseck,196,87,Germany
21 V. Jemelka,186,75,Czech Republic
O. Camara,197,90,France
Patrick Machado,175,65,Brazil
22 E. Gayi,185,70,Norway
10 Sérgio Conceição,177,78,Portugal
V. Blixt,182,72,Sweden
M. van Brederode,174,60,Netherlands
C. Whelan,180,75,Republic of Ireland
22 R. Nuñez,168,67,Uruguay
T. Úlfarsson,185,80,Iceland
E. Yeboah,187,80,Ghana
22 K. Kodisang,169,67,South Africa
22 R. Bravo,174,74,Argentina
20 Mathiola,178,73,Brazil
21 L. Fahrnberger,178,67,Austria
21 A. Rosell,176,71,Peru
22 V. Guzmán,181,75,Mexico
22 Pedro Benito,182,77,Spain
22 S. Karim,181,80,Ghana
M. Rover,185,76,Italy
Herculano,182,81,Portugal
22 Llorente,193,90,Spain
Peter,180,71,Spain
22 M. Majouga,182,78,France
C. Espínola,173,79,Paraguay
A. Considine,183,75,Scotland
F. Alidou,186,84,Germany
João Marcelo,189,84,Brazil
A. Antunes,181,73,Switzerland
Y. Chermiti,192,81,Portugal
22 E. Ramírez,190,82,Venezuela
R. Vita,170,66,Madagascar
I. Šarić,177,70,Croatia
D. Kocyła,180,66,Poland
T. González,170,68,Argentina
R. Rentería,180,71,Ecuador
22 B. Rivera,179,72,Ecuador
D. Pecile,182,72,Canada
N. Aliji,177,73,Albania
21 Yago Gomes,179,67,Brazil
J. Bednarek,189,77,Poland
D. Duhaney,180,70,England
17 S. Boden,180,70,England
K. Salazar,180,73,Colombia
21 Jhonata Robert,179,73,Brazil
22 L. Tolaj,184,75,Switzerland
21 M. Dangmo,172,77,Cameroon
V. Daley-Campbell,180,74,England
22 Marcelo Machado,184,77,Brazil
Llabrés,172,71,Spain
22 E. Pizzuto,179,69,Mexico
Oier Luengo,185,82,Spain
Kang Seong Jin,178,76,Korea Republic
20 Samuel Pedro,175,67,Portugal
21 Lombraña,173,70,Spain
B. Valdez,179,75,Argentina
O. Rosengren,175,70,Sweden
22 R. Flueraş,180,70,Romania
J. Flint,177,64,England
21 I. Pešić,183,75,Croatia
22 L. Sequeira,172,69,Argentina
22 G. Caschili,171,72,Netherlands
21 A. Williams,183,77,Wales
21 P. Galabov,187,79,Bulgaria
22 K. Yasui,174,69,Japan
E. Nevitt,183,80,England
08 C. Reyna,178,71,United States
22 S. Arce,168,63,Paraguay
H. Lezcano,170,72,Paraguay
V. Vakula,173,69,Ukraine
22 H. Arai,168,65,Japan
Valera,170,69,Spain
21 G. Yomov,176,65,Bulgaria
J. Gaudin,180,71,France
L. Torres,180,67,France
22 J. Freeman,184,75,England
22 A. Oudjani,185,75,Algeria
O. Romeny,185,81,Netherlands
22 F. Mina,175,70,Ecuador
J. Karlsson,172,68,Sweden
J. Barden,180,80,England
21 L. Arce,175,68,Ecuador
22 A. Radovanović,181,73,Serbia
C. Bălan,176,74,Romania
Marcelo Lopes,177,67,Cape Verde Islands
21 O. Ilyas,180,78,Saudi Arabia
D. Borkowski,184,74,Germany
C. Driouech,175,75,Netherlands
22 C. Webster,178,73,England
F. Orozco,165,61,Argentina
21 Renan Oliveira,186,84,Brazil
21 C. Seedorf,175,73,Netherlands
T. Itō,163,59,Japan
22 J. Humanante,176,84,Ecuador
21 F. Boné,176,67,Uruguay
22 N. Viera,184,89,Paraguay
A. Ranocchia,195,81,Italy
L. Matheson,168,62,England
M. Neubauer,180,73,Germany
M. Alfarela,173,67,France
J. Gomez,189,80,Gambia
22 D. Olejarka,180,75,Poland
22 A. Martin,183,74,England
17 M. Demichelis,184,78,Argentina
22 L. León,183,69,Ecuador
22 J. Cooper,180,70,Northern Ireland
22 Sergio Benito,174,73,Spain
A. Hofman,181,71,Romania
22 N. Fuke,174,67,Japan
21 A. Ojeda,174,73,Peru
G. Manzari,178,69,Italy
M. Erlić,193,88,Croatia
O. Sæter,186,80,Norway
Max,175,73,Brazil
22 A. Disaro,175,72,Japan
21 C. Canales,175,72,Peru
21 M. Mulder,188,76,Israel
15 G. Caldwell,180,74,Scotland
22 C. Verfurth,193,86,United States
21 R. Richard,171,65,France
22 L. Chávez,170,63,Bolivia
22 H. Calderón,173,68,Venezuela
22 Eom Ji Sung,178,70,Korea Republic
J. Singh,169,68,India
D. Wright-Phillips,170,62,England
J. Cruz,184,71,Argentina
K. Keïta,178,75,Côte d'Ivoire
J. Heuer,189,78,Germany
22 Matheus Thuler,186,86,Brazil
E. Elizalde,179,78,Uruguay
21 J. González,165,59,Peru
20 J. Martínez,179,71,Mexico
Jô Batista,192,84,Brazil
B. Jackson,178,73,England
22 J. Nodake,177,75,Japan
D. Nugent,183,72,Republic of Ireland
D. Arzani,171,73,Australia
J. Shcherbakovski,174,62,Belarus
21 J. Carrasco,186,78,Bolivia
22 G. Iturra,167,63,Argentina
I. Rodríguez,175,68,Argentina
22 I. Moreno,166,65,Mexico
21 N. Titkov,177,67,Russia
22 E. Daniel,178,77,Czech Republic
22 T. Strannegård,177,63,Sweden
F. Brand,187,82,Germany
22 A. Hamzaoui,175,68,Belgium
D. Mosquera,181,85,Colombia
21 L. Mamut,178,69,Argentina
21 M. Carranza,165,62,Peru
Y. Begraoui,178,70,France
T. Breithaupt,192,78,Germany
D. Stensson,178,70,Sweden
J. Giani,180,69,Argentina
M. Falcón,179,80,Uruguay
C. Kelman,175,70,United States
S. Hamulic,188,76,Netherlands
21 Pedro Henrique,188,82,Brazil
21 B. Šabani,178,71,Germany
G. Pérez,178,72,Uruguay
J. Dunne,188,75,Republic of Ireland
20 K. Varela,170,67,Mexico
E. Matuta,191,78,Belgium
22 B. Bulut,176,71,Turkey
F. Fernández,190,83,Argentina
B. Paton,175,67,Canada
21 A. Napolitano,180,75,Argentina
M. Doucouré,181,75,Mali
21 J. Lumbreras,179,72,Mexico
A. Compagno,194,84,Italy
21 Dudu,179,73,Brazil
21 G. Rojas,169,62,Venezuela
S. Aas,181,74,Norway
Zito Luvumbo,171,69,Angola
L. Pétrot,188,81,France
22 L. Pye,178,72,England
22 M. Bajamich,178,75,Argentina
Gonçalo Borges,184,77,Portugal
A. Bakhat,180,71,Germany
22 J. Giddings,177,75,England
21 N. Cheung,175,70,Netherlands
22 I. Someno,179,67,Japan
J. Ramos,180,78,Panama
21 J. Araujo,176,72,Paraguay
B. Amione,187,90,Argentina
D. Robles,184,92,Paraguay
A. Benarous,175,66,England
22 E. Obregón,177,69,Argentina
H. Neal,180,70,England
22 L. Soto,173,70,Mexico
L. Tonelli,183,75,Italy
22 A. Baldé,170,60,Senegal
Juan Durán,180,74,Spain
O. Drambaev,185,76,Ukraine
X. Blomme,175,68,Belgium
C. Odenthal,190,79,Netherlands
21 A. Gonçalves Pereira,182,85,France
S. Alabi,170,64,Ghana
M. Żyro,188,83,Poland
G. Mensah,183,79,Ghana
O. Malik,185,75,Australia
E. Emegha,195,63,Netherlands
21 Júnior Brandão,187,75,Brazil
22 R. Adigo,181,72,Germany
22 J. Hoogma,190,81,Netherlands
21 M. Ballarini,186,77,Italy
O. Beck,181,74,Wales
S. Koch,186,78,Denmark
Jandro Orellana,176,71,Spain
22 Y. Kobayashi,180,70,Japan
J. Eze,182,76,Germany
22 L. Pavia,170,60,Bolivia
22 T. Nara,180,74,Japan
T. Müsel,185,80,Germany
21 E. Akcan,165,62,Turkey
M. Ross,191,80,Denmark
21 C. Seedorf,181,80,Netherlands
21 A. Reyes,178,69,Mexico
O. Edwards,168,67,England
22 A. Montaño,174,65,Mexico
F. Markelic,180,69,Austria
A. Sieb,175,75,Germany
W. Kechrida,184,75,Tunisia
22 Manu Molina,175,70,Spain
21 A. Karagülmez,185,79,Netherlands
Lee Kang Hyeon,181,76,Korea Republic
J. Ajenjo Hyjek,186,76,Poland
F. González,180,72,Argentina
M. Kaufmann,190,82,Denmark
A. Oguns,179,81,Nigeria
22 S. Oganesyan,183,70,Russia
22 A. Barboza,179,79,Uruguay
A. Boutoutaou,169,56,France
22 M. Young,168,70,England
Ilias,175,70,Spain
Hernandes,183,75,Brazil
A. Nadesan,188,70,England
Mario Gila,185,80,Spain
22 R. Meerveld,178,74,Netherlands
D. Pérez,189,77,Venezuela
Raúl Parra,187,77,Spain
G. Koutsias,178,66,Greece
S. Horemans,183,72,Belgium
21 J. Peña,180,71,Ecuador
A. De Paoli,185,78,Italy
G. Hanley,187,81,Scotland
A. Adams,190,83,Nigeria
22 T. Okubo,170,62,Japan
22 M. Montenegro,181,77,Argentina
20 M. Morales,170,67,Chile
F. Winsth,176,67,Sweden
C. Çelik,178,68,Turkey
21 J. Yakshibaev,178,76,Uzbekistan
22 D. Shabanhaxhaj,179,74,Kosovo
22 César Sousa,173,68,Angola
C. Kobald,186,80,Austria
S. Posch,189,82,Austria
M. Perea,175,70,Peru
22 C. Montaña,169,71,Venezuela
22 G. Frimpong,180,66,Netherlands
21 H. Takeda,178,68,Japan
O. Kolskogen,187,73,Norway
22 K. Yanagisawa,180,72,Japan
22 X. Flores,173,67,Venezuela
J. Topalli,188,79,Kosovo
22 A. Ndour,188,78,Senegal
M. Lehaire,185,76,Belgium
S. Ambrosius,182,80,Ghana
Iván Morante,180,75,Spain
S. Onur,175,70,Turkey
22 E. Galara,175,65,Poland
21 J. Gamboa,169,58,Mexico
A. Wam,183,75,Cameroon
S. McKenna,189,80,Scotland
D. Isita,177,75,Bolivia
19 João Paredes,189,80,Portugal
D. Jean,175,70,Haiti
A. Dumitrescu,178,70,Romania
22 G. Córdoba,160,62,Argentina
H. Larsson,187,70,Sweden
22 R. Sweeney,193,87,Republic of Ireland
22 Manu Lama,186,82,Spain
M. Pinto,170,76,Chile
22 L. Lobato,174,70,Brazil
22 D. Mebude,174,69,Scotland
A. Dari,188,75,Morocco
F. Bundgaard,176,62,Denmark
E. López,176,68,Paraguay
21 A. Villalva,180,82,Ecuador
C. Antoine,191,80,Haiti
21 A. López,170,60,Mexico
B. Zempelin,182,80,Germany
A. Yahya,171,60,Saudi Arabia
22 J. Nolan,176,66,England
22 V. Bradonjić,172,67,Bosnia and Herzegovina
22 J. Kabia,175,65,Republic of Ireland
K. Ramsay,184,66,England
22 M. Thomson,170,72,Scotland
21 M. Molinas,180,74,Paraguay
D. Camara,179,70,Côte d'Ivoire
M. Ortega,183,75,Argentina
N. Miroshi,182,74,Tanzania
J. Ruque,176,65,France
22 Aitor Puñal,177,73,Spain
20 S. Orozco,177,70,Colombia
22 Y. Rocha,178,65,Bolivia
Jubal,190,80,Brazil
Luis Carbonell,169,67,Spain
B. Kiernan,175,81,England
T. Naustdal,178,72,Norway
Y. Van Genechten,192,75,Belgium
22 J. Rangel,166,63,Mexico
V. Backman,168,70,Sweden
22 K. Inoue,170,65,Japan
21 J. Gática,171,62,Chile
22 N. Chadli,181,70,Morocco
22 R. Vega,177,74,Argentina
A. Disasi,190,86,France
Lobete,177,72,Spain
M. Tambedou,178,60,Senegal
21 T. Egbri,163,60,England
I. Maestro Puch,180,78,Argentina
21 Zelu,170,67,Spain
Y. Baas,182,73,Netherlands
22 D. Durán,182,80,Colombia
J. Bergström,195,95,Sweden
22 S. Velkov,192,86,Bulgaria
A. Wikman,178,66,Sweden
22 K. Nagera,177,65,France
M. González,173,62,Argentina
22 A. Zárate,172,70,Paraguay
22 D. Prosser,175,70,Hungary
22 B. Purcell,176,67,Wales
Andrezinho,174,64,Portugal
22 E. Escobar,172,69,Uruguay
22 M. Björkqvist,181,80,Sweden
21 L. Congo,179,79,Ecuador
N. Mbamba,188,75,Belgium
22 N. Cainelli,178,75,Argentina
22 H. Naruoka,170,59,Japan
F. Michel,186,80,Germany
N. Wojtuszek,184,79,Poland
G. Contreras,175,71,Venezuela
22 J. Chorushij,172,68,Germany
Y. González,173,68,Argentina
H. Ekdal,188,76,Sweden
Julen Jon,186,69,Spain
Gabri Veiga,184,77,Spain
19 D. Edgar,193,86,Canada
22 N. Tekijaški,186,78,Serbia
21 A. Rey,174,71,Bolivia
Antonio Leal,186,78,Spain
21 R. Cueto,170,70,Bolivia
22 L. Berdugo,176,69,Colombia
22 L. Vielgut,185,78,Austria
R. McAlear,185,75,Scotland
21 K. Popovic,185,80,Australia
N. Persson,180,74,Sweden
F. Kent,188,76,England
22 D. Emeksiz,170,67,Turkey
M. Olesen,188,78,Luxembourg
21 Xiao Guiren,176,66,China PR
S. Mkhulise,177,70,South Africa
21 J. Turtschan,166,62,Germany
22 M. Alghoul,168,64,Palestine
M. Guaramato,173,70,Venezuela
O. Jensen,182,75,Denmark
A. Linguet,176,69,France
22 K. Ademi,198,86,Switzerland
K. Fayad,172,61,France
20 Luiz Fernando,175,72,Brazil
E. Pierozzi,182,70,Italy
F. Aguilar,190,82,Colombia
22 Z. Eddahchouri,187,74,Netherlands
22 E. Nolan,185,77,Republic of Ireland
22 Chico,186,92,Brazil
22 Juampe,180,75,Spain
21 I. Faraj,177,64,France
20 M. Ali,183,78,Iraq
S. Valverde,175,75,Bolivia
P. Saathof,177,68,Netherlands
21 G. Onugkha,190,94,Russia
22 Diogo,194,79,Brazil
R. Mustafaev,183,70,Russia
22 J. Salmani,176,69,Iran
20 E. Giani,187,78,Italy
21 H. Matamoros,170,65,Ecuador
M. Bogarde,182,72,Netherlands
C. Hountondji,195,81,Benin
22 T. Miyagi,177,70,Japan
22 K. Kalua,181,79,New Zealand
S. Tovide,188,78,England
22 A. Turkeš,193,84,Bosnia and Herzegovina
22 A. Wahab Ibrahim,176,70,Ghana
Copete,192,73,Spain
21 N. Petković,185,77,Serbia
21 S. Zamora,172,67,Mexico
Cristhian Mosquera,188,79,Spain
K. Ezekwem,187,76,Germany
21 A. Sidibé,180,70,France
VP Suhair,174,74,India
L. Ralte,163,66,India
D. Vera,175,64,Ecuador
J. Ríos Alonso,182,77,Germany
R. Kehr,189,81,Germany
22 J. Mvuka,173,65,Norway
22 F. Coman,175,75,Argentina
J. Gauto,170,66,Argentina
22 F. Chamorro,184,72,Chile
M. Bartolewski,187,76,Poland
22 R. Morales,179,69,Paraguay
22 P. Sieben,183,78,Germany
22 J. Koželuh,179,70,Czech Republic
A. Al Burayh,178,65,Saudi Arabia
H. Matriciani,187,76,Germany
21 U. Simbakoli,176,67,France
21 T. Diáz,178,72,Argentina
M. Sørensen,193,92,Denmark
S. Radebe,167,58,South Africa
O. Pohlmann,183,80,Germany
22 R. Castillo,174,71,Mexico
F. Wustinger,176,71,Austria
21 M. Ndiaye,175,70,Senegal
Sola,175,70,Spain
22 Alejandro Pérez,184,76,Spain
R. Johansson,180,75,Republic of Ireland
L. Ojeda,177,74,Argentina
G. Edmundson,190,80,England
L. Suárez,181,82,Argentina
22 A. Ale,192,92,Uruguay
R. Taylor,187,68,England
R. Duterte,178,69,France
S. Nongoh,179,60,Cameroon
22 M. Guzmán,181,76,Argentina
22 B. Boukteb,183,76,Belgium
S. Rogers,193,86,United States
D. Tudi,180,75,China PR
D. Bansais,177,71,France
Moresche,180,61,Brazil
A. Hunt,170,60,England
22 L. Šušnjara,188,88,Slovenia
D. Brekalo,186,88,Slovenia
C. Gilmour,185,76,Scotland
L. Joseph,183,73,France
A. El-Zein,179,78,Germany
22 A. Akinfenwa,178,110,England
22 J. Scrimshaw,176,74,England
De Tomás,172,68,Spain
Mateus Criciúma,175,71,Brazil
Marco Camus,183,73,Spain
21 K. Landi,175,70,Italy
E. Rivas,190,83,Venezuela
21 D. Brăila,165,60,Romania
J. Pintado,173,64,Uruguay
David Argüelles,175,71,Spain
D. Murkin,176,69,England
E. King,188,80,Wales
A. Temanfo,183,82,France
P. Treu,172,68,Germany
22 B. Orosco,172,71,Argentina
M. Pehlivan,179,73,Turkey
Javi López,183,75,Spain
V. Vermeulen,177,76,Netherlands
22 Rubén Pulido,184,82,Spain
22 A. Hrosu,175,65,Ukraine
22 A. Majstorović,185,80,Croatia
J. Meerstadt,186,75,Netherlands
A. Tripaldelli,182,77,Italy
B. Salvareschi,188,84,Argentina
C. Ballantyne,185,80,Scotland
H. Wood,178,78,England
B. Böckle,185,77,Austria
22 J. Bennett,180,75,England
22 M. Orzechowski,180,76,Poland
Y. Kechta,175,68,Morocco
12 B. Baldé,180,70,Guinea Bissau
22 R. Thomson,173,66,Scotland
N. Zografakis,176,76,Greece
21 M. Robin,180,70,France
22 H. Bah-Traoré,175,77,Togo
A. Al Ayeri,175,70,Saudi Arabia
N. Hug,170,68,Germany
22 C. McNeill,182,74,England
S. Augustijns,179,74,Belgium
22 Saulo Mineiro,184,85,Brazil
P. Chrupalla,180,72,Norway
22 B. Kukułowicz,181,72,Poland
22 N. Dosis,182,74,Sweden
G. Vega,186,75,Argentina
J. Stansfield,182,68,England
E. Bristow,188,68,England
G. Vagiannidis,181,68,Greece
22 I. Pitta,183,81,Paraguay
V. Besuijen,169,62,Netherlands
21 M. Gönülaçar,187,76,Turkey
Iván Bravo,181,64,Spain
21 S. Sjøkvist,181,70,Norway
Hugo Álvarez,185,72,Spain
22 S. Cornish,173,75,England
22 Telmo Arcanjo,180,79,Cape Verde Islands
22 J. Harlock,175,68,England
F. Noguera,193,95,Argentina
22 J. Fory,187,81,Colombia
V. Gómez,181,73,Argentina
M. Balard,175,68,Australia
A. Papadopoulos,185,83,Germany
S. Mitrović,189,84,Serbia
Kaiky,186,76,Brazil
M. Dorval,176,75,France
22 D. Hoogewerf,165,60,Netherlands
21 R. Canido,175,72,Bolivia
22 N. Emeran,179,67,France
22 D. Williams,170,64,England
21 Y. Samaniego,175,75,Paraguay
21 J. Maldonado,180,73,Venezuela
22 M. Curiel,190,85,Peru
22 T. Collyer,180,75,England
21 D. Bagarić,193,89,Croatia
L. Cornic,178,64,Norway
22 R. Huescas,174,69,Mexico
Montero,185,76,Spain
22 K. Corbally,173,64,Republic of Ireland
A. Farouk,180,74,Germany
L. Zabala,175,75,Australia
M. Dabre,168,68,Italy
22 J. Adeyemo,177,70,Republic of Ireland
22 Manu Rico,178,76,Spain
M. Tolba,185,76,Germany
A. Nilsson,178,72,Sweden
22 J. Gómez,178,74,United States
22 S. Ramírez,180,75,Argentina
M. Senaya,179,65,France
22 B. Cottrell,166,59,England
20 A. Menteşe,175,70,Turkey
K. Hansen,184,80,Denmark
22 A. Cantero,184,80,Argentina
22 T. D'Almeida,185,77,Côte d'Ivoire
A. Vera,161,61,Venezuela
M. Lixandru,184,75,Romania
18 N. Burdisso,183,81,Argentina
Luis Bilbao,185,75,Spain
E. Ferigra,180,74,Ecuador
21 D. Trivunić,187,73,Serbia
N. Hernandez,178,78,United States
21 P. Palacio,180,75,Argentina
A. Mishra,179,68,India
J. Quispe,175,74,Peru
A. Kozubal,176,68,Poland
L. Varaldo,176,69,Argentina
22 N. Sanjuan,182,73,Colombia
22 P. Starzyński,173,67,Poland
L. Fridrikas,180,81,Austria
18 P. Mertesacker,198,90,Germany
V. Bazán,180,76,Peru
22 S. Siatravanis,172,64,Greece
15 L. Hall,178,71,England
21 S. Mina,182,74,Ecuador
J. Lascelles,188,83,England
22 A. Moran,177,73,Republic of Ireland
22 M. Lacava,167,62,Venezuela
22 F. Ventura,181,78,Ecuador
S. Mihajlovic,188,80,Serbia
21 A. Quiñónez,176,73,Paraguay
Jeong Seung Hyun,188,74,Korea Republic
22 L. Griebsch,179,75,Germany
K. Baah,183,75,Germany
J. Umerah,185,80,England
J. Hollman,176,70,Australia
L. Bucca,189,82,Argentina
L. Stergiou,180,75,Switzerland
A. Seydel,199,90,Germany
21 A. Burgstaller,177,69,Austria
T. Sechelmann,186,81,Germany
D. Costelloe,181,74,Republic of Ireland
M. Ameyaw,176,75,Poland
C. Abastoflor,170,61,Bolivia
22 A. Mawson,189,90,England
H. Al Majhad,169,60,Saudi Arabia
